Locations,Total_Transactions_Locationwise,Total_Amount,Quarter,Year,State
tonk district,179838,229193878.6,2,2018,rajasthan
jodhpur district,435868,822648668.4,2,2018,rajasthan
karauli district,127662,168005885.8,2,2018,rajasthan
udaipur district,291907,521933429.8,2,2018,rajasthan
dausa district,280086,326639015.8,2,2018,rajasthan
nagaur district,304856,430074431.6,2,2018,rajasthan
bharatpur district,232601,343423921.2,2,2018,rajasthan
barmer district,168177,315020798.6,2,2018,rajasthan
ajmer district,303419,573173492.1,2,2018,rajasthan
chittorgarh district,185152,274887651.5,2,2018,rajasthan
hanumangarh district,242471,356609215.7,2,2018,rajasthan
pratapgarh district,39165,57806379.02,2,2018,rajasthan
sawai madhopur district,187133,226831827.6,2,2018,rajasthan
jalore district,86569,148358542.8,2,2018,rajasthan
bikaner district,230781,437796608.5,2,2018,rajasthan
sikar district,396177,599106340.8,2,2018,rajasthan
dholpur district,66366,106898400.6,2,2018,rajasthan
sirohi district,79950,127025757.3,2,2018,rajasthan
rajsamand district,83093,156396864.5,2,2018,rajasthan
jaisalmer district,55857,106390026,2,2018,rajasthan
bundi district,98301,114801275,2,2018,rajasthan
jhalawar district,116621,186554558.8,2,2018,rajasthan
alwar district,700144,1094410045,2,2018,rajasthan
kota district,397475,569851208.4,2,2018,rajasthan
jhunjhunu district,289113,454701839.8,2,2018,rajasthan
pali district,191813,391095636.8,3,2018,rajasthan
ganganagar district,380679,723321172.6,3,2018,rajasthan
churu district,207506,343106985.1,3,2018,rajasthan
jaipur district,4954443,7882149495,3,2018,rajasthan
baran district,137772,163979591.4,3,2018,rajasthan
bhilwara district,544999,933730468.5,3,2018,rajasthan
banswara district,72620,130220301.7,3,2018,rajasthan
dungarpur district,45926,104987360.6,3,2018,rajasthan
tonk district,242428,346853304.3,3,2018,rajasthan
jodhpur district,570133,1263392447,3,2018,rajasthan
karauli district,173940,247559484.7,3,2018,rajasthan
udaipur district,417509,818672225.3,3,2018,rajasthan
dausa district,448286,532308543.2,3,2018,rajasthan
nagaur district,473481,696224765.6,3,2018,rajasthan
bharatpur district,323314,533384430.6,3,2018,rajasthan
barmer district,233853,499069207.1,3,2018,rajasthan
ajmer district,400284,841931847.5,3,2018,rajasthan
chittorgarh district,246933,424424943,3,2018,rajasthan
hanumangarh district,260525,487033702.3,3,2018,rajasthan
pratapgarh district,85749,120068399.5,3,2018,rajasthan
sawai madhopur district,263670,347885325.9,3,2018,rajasthan
jalore district,107595,212401951.2,3,2018,rajasthan
bikaner district,338960,665233369.9,3,2018,rajasthan
sikar district,478163,893538054.1,3,2018,rajasthan
dholpur district,87956,168509468.8,3,2018,rajasthan
sirohi district,97631,193176100.4,3,2018,rajasthan
rajsamand district,113423,238912182,3,2018,rajasthan
jaisalmer district,85833,205049073.8,3,2018,rajasthan
bundi district,129192,163739658.6,3,2018,rajasthan
jhalawar district,184260,308845324.3,3,2018,rajasthan
alwar district,1024880,1687744781,3,2018,rajasthan
kota district,582519,821606603.2,3,2018,rajasthan
jhunjhunu district,350823,650612466.9,3,2018,rajasthan
pali district,290078,609431077,4,2018,rajasthan
ganganagar district,561084,1174061621,4,2018,rajasthan
churu district,323809,597107092.4,4,2018,rajasthan
jaipur district,7271209,12107341570,4,2018,rajasthan
baran district,208117,281457304.2,4,2018,rajasthan
bhilwara district,781679,1420324851,4,2018,rajasthan
banswara district,86992,190699740.9,4,2018,rajasthan
dungarpur district,67595,145651692.5,4,2018,rajasthan
tonk district,413601,578811256.1,4,2018,rajasthan
jodhpur district,854003,1928732779,4,2018,rajasthan
karauli district,293453,474349087.6,4,2018,rajasthan
udaipur district,606049,1219187068,4,2018,rajasthan
dausa district,673282,921613483.1,4,2018,rajasthan
nagaur district,532876,1035003943,4,2018,rajasthan
bharatpur district,488393,882948397.6,4,2018,rajasthan
barmer district,364271,817956987.9,4,2018,rajasthan
ajmer district,577840,1318562549,4,2018,rajasthan
chittorgarh district,369197,685409408.6,4,2018,rajasthan
hanumangarh district,393172,765990043.7,4,2018,rajasthan
pratapgarh district,71735,156122144.8,4,2018,rajasthan
sawai madhopur district,425091,614546072.1,4,2018,rajasthan
jalore district,164183,334580398.8,4,2018,rajasthan
bikaner district,458094,1010268341,4,2018,rajasthan
sikar district,735428,1558681541,4,2018,rajasthan
dholpur district,134973,276359357.3,4,2018,rajasthan
sirohi district,159190,302564768,4,2018,rajasthan
rajsamand district,169699,376790036.6,4,2018,rajasthan
jaisalmer district,139707,366747648.9,4,2018,rajasthan
bundi district,201117,275015037.2,4,2018,rajasthan
jhalawar district,272289,486317778.7,4,2018,rajasthan
alwar district,1532807,2700489271,4,2018,rajasthan
kota district,831676,1186913794,4,2018,rajasthan
jhunjhunu district,507034,1109050940,4,2018,rajasthan
pali district,458129,813017709.4,1,2019,rajasthan
ganganagar district,820390,1483030348,1,2019,rajasthan
churu district,573196,891262149,1,2019,rajasthan
jaipur district,19178441,25043540802,1,2019,rajasthan
baran district,401945,386281315.8,1,2019,rajasthan
bhilwara district,1615975,2126329688,1,2019,rajasthan
banswara district,128168,252141282.6,1,2019,rajasthan
dungarpur district,97368,181711643,1,2019,rajasthan
tonk district,918261,911288432.1,1,2019,rajasthan
jodhpur district,1535328,2762592744,1,2019,rajasthan
karauli district,536247,640605077.9,1,2019,rajasthan
udaipur district,998792,1584751475,1,2019,rajasthan
dausa district,1370483,1416280225,1,2019,rajasthan
nagaur district,863586,1464335916,1,2019,rajasthan
bharatpur district,757764,1170616318,1,2019,rajasthan
barmer district,566001,1166352000,1,2019,rajasthan
ajmer district,1030802,1810602285,1,2019,rajasthan
chittorgarh district,695076,929874618.3,1,2019,rajasthan
hanumangarh district,656471,1014404082,1,2019,rajasthan
pratapgarh district,109425,193048992.4,1,2019,rajasthan
sawai madhopur district,916728,872514914.9,1,2019,rajasthan
jalore district,253294,465905604.1,1,2019,rajasthan
bikaner district,718960,1317130557,1,2019,rajasthan
sikar district,1310064,2164835681,1,2019,rajasthan
dholpur district,227953,369840318.9,1,2019,rajasthan
sirohi district,249948,388223692.9,1,2019,rajasthan
rajsamand district,246874,479694936.1,1,2019,rajasthan
jaisalmer district,222169,450360216.4,1,2019,rajasthan
bundi district,433877,395522468.5,1,2019,rajasthan
jhalawar district,540106,671919666.3,1,2019,rajasthan
alwar district,2791195,3949132715,1,2019,rajasthan
kota district,1748396,1712973062,1,2019,rajasthan
jhunjhunu district,984628,1661037640,1,2019,rajasthan
pali district,451361,975341901.8,2,2019,rajasthan
ganganagar district,793415,1741658993,2,2019,rajasthan
churu district,513343,1039135502,2,2019,rajasthan
jaipur district,27449382,46056907217,2,2019,rajasthan
baran district,307009,447359506.7,2,2019,rajasthan
bhilwara district,1359790,2514774804,2,2019,rajasthan
banswara district,122914,279052206.2,2,2019,rajasthan
dungarpur district,93534,204965141,2,2019,rajasthan
tonk district,676081,1042807862,2,2019,rajasthan
jodhpur district,1733269,3700049029,2,2019,rajasthan
karauli district,447402,814768981.4,2,2019,rajasthan
udaipur district,1007076,1724895639,2,2019,rajasthan
dausa district,1063146,1644609703,2,2019,rajasthan
nagaur district,837498,1785033012,2,2019,rajasthan
bharatpur district,658761,1351944366,2,2019,rajasthan
barmer district,544410,1311283618,2,2019,rajasthan
ajmer district,1078977,2153453855,2,2019,rajasthan
chittorgarh district,525590,1011806082,2,2019,rajasthan
hanumangarh district,591940,1204528895,2,2019,rajasthan
pratapgarh district,98325,226255749.4,2,2019,rajasthan
sawai madhopur district,646989,1014792694,2,2019,rajasthan
jalore district,269425,598668374.2,2,2019,rajasthan
bikaner district,768368,1577304236,2,2019,rajasthan
sikar district,1198479,2624570999,2,2019,rajasthan
dholpur district,199022,416422999.4,2,2019,rajasthan
sirohi district,220632,436753439.8,2,2019,rajasthan
rajsamand district,232891,506302964.5,2,2019,rajasthan
jaisalmer district,208146,486100369,2,2019,rajasthan
bundi district,335788,452819280.4,2,2019,rajasthan
jhalawar district,423714,783030484.3,2,2019,rajasthan
alwar district,2451727,4430719900,2,2019,rajasthan
kota district,1571917,2185105967,2,2019,rajasthan
jhunjhunu district,1128965,2364089403,2,2019,rajasthan
pali district,585504,1150604797,3,2019,rajasthan
ganganagar district,1042232,2159202441,3,2019,rajasthan
churu district,622575,1254479088,3,2019,rajasthan
jaipur district,36334520,58402103361,3,2019,rajasthan
baran district,399518,547340423.6,3,2019,rajasthan
bhilwara district,1993704,3277886477,3,2019,rajasthan
banswara district,168497,343397159.4,3,2019,rajasthan
dungarpur district,130348,262254624.3,3,2019,rajasthan
tonk district,896341,1336010096,3,2019,rajasthan
jodhpur district,2465513,4931658536,3,2019,rajasthan
karauli district,513134,886733240.3,3,2019,rajasthan
udaipur district,1643482,2352763016,3,2019,rajasthan
dausa district,1428706,1976649525,3,2019,rajasthan
nagaur district,1130161,2271859215,3,2019,rajasthan
bharatpur district,821930,1576762869,3,2019,rajasthan
barmer district,784994,1736070568,3,2019,rajasthan
ajmer district,1474810,2744812298,3,2019,rajasthan
chittorgarh district,688463,1235900902,3,2019,rajasthan
hanumangarh district,746849,1580772524,3,2019,rajasthan
pratapgarh district,128411,259036732.8,3,2019,rajasthan
sawai madhopur district,756052,1133877553,3,2019,rajasthan
jalore district,357987,725486467.7,3,2019,rajasthan
bikaner district,1101643,2013882163,3,2019,rajasthan
sikar district,1660524,3298948099,3,2019,rajasthan
dholpur district,238638,501415605.2,3,2019,rajasthan
sirohi district,302091,560129696.6,3,2019,rajasthan
rajsamand district,338225,684220951.6,3,2019,rajasthan
jaisalmer district,327346,696726627.8,3,2019,rajasthan
bundi district,491826,574474158.2,3,2019,rajasthan
jhalawar district,600830,954212986.4,3,2019,rajasthan
alwar district,3359867,5501752093,3,2019,rajasthan
kota district,2435542,2706744842,3,2019,rajasthan
jhunjhunu district,1333354,2830120895,3,2019,rajasthan
pali district,791971,1660765764,4,2019,rajasthan
ganganagar district,1391826,2912480706,4,2019,rajasthan
churu district,879054,1848837859,4,2019,rajasthan
jaipur district,44335592,81782144762,4,2019,rajasthan
baran district,507856,797895753.9,4,2019,rajasthan
bhilwara district,2464660,4716195174,4,2019,rajasthan
banswara district,218021,478485642.4,4,2019,rajasthan
dungarpur district,173444,352774910.8,4,2019,rajasthan
tonk district,1174542,1922431967,4,2019,rajasthan
jodhpur district,3216115,6915335471,4,2019,rajasthan
karauli district,690501,1271702297,4,2019,rajasthan
udaipur district,2311396,3313736216,4,2019,rajasthan
dausa district,1869433,3045918034,4,2019,rajasthan
nagaur district,1504020,3329099533,4,2019,rajasthan
bharatpur district,1096048,2133332976,4,2019,rajasthan
barmer district,1053052,2396360291,4,2019,rajasthan
ajmer district,2025212,4104641129,4,2019,rajasthan
chittorgarh district,898355,1770090090,4,2019,rajasthan
hanumangarh district,1000216,2235484544,4,2019,rajasthan
pratapgarh district,170862,368286395.4,4,2019,rajasthan
sawai madhopur district,1095250,1728688028,4,2019,rajasthan
jalore district,476126,1014601976,4,2019,rajasthan
bikaner district,1472830,2842170428,4,2019,rajasthan
sikar district,2248784,5037411453,4,2019,rajasthan
dholpur district,313175,678342072.5,4,2019,rajasthan
sirohi district,420834,825221649.6,4,2019,rajasthan
rajsamand district,464681,1008106865,4,2019,rajasthan
jaisalmer district,452830,1045053487,4,2019,rajasthan
bundi district,575842,828352858,4,2019,rajasthan
jhalawar district,742750,1300727270,4,2019,rajasthan
alwar district,4269770,7746529383,4,2019,rajasthan
kota district,2899819,3813622080,4,2019,rajasthan
jhunjhunu district,1869375,4227582983,4,2019,rajasthan
pali district,1057322,2090797318,1,2020,rajasthan
ganganagar district,1690638,3342557353,1,2020,rajasthan
churu district,1077936,2221433308,1,2020,rajasthan
jaipur district,52623661,98360847994,1,2020,rajasthan
baran district,608776,927974168.8,1,2020,rajasthan
bhilwara district,2976581,5578143402,1,2020,rajasthan
banswara district,330880,726916344.2,1,2020,rajasthan
dungarpur district,268602,523389448.9,1,2020,rajasthan
tonk district,1486166,2330303454,1,2020,rajasthan
jodhpur district,3807384,7642170734,1,2020,rajasthan
karauli district,872739,1576364870,1,2020,rajasthan
udaipur district,2735381,3947849173,1,2020,rajasthan
dausa district,2290731,3676225560,1,2020,rajasthan
nagaur district,1885285,4010256397,1,2020,rajasthan
bharatpur district,1367810,2575506372,1,2020,rajasthan
barmer district,1446721,3237769273,1,2020,rajasthan
ajmer district,2642400,5228150511,1,2020,rajasthan
chittorgarh district,1182462,2269539792,1,2020,rajasthan
hanumangarh district,1183791,2435546396,1,2020,rajasthan
pratapgarh district,221448,454661673.9,1,2020,rajasthan
sawai madhopur district,1331196,2019196354,1,2020,rajasthan
jalore district,663865,1393546229,1,2020,rajasthan
bikaner district,1798288,3442445414,1,2020,rajasthan
sikar district,2898431,6198159589,1,2020,rajasthan
dholpur district,421077,887503401.5,1,2020,rajasthan
sirohi district,546429,983010164.3,1,2020,rajasthan
rajsamand district,715929,1539560603,1,2020,rajasthan
jaisalmer district,555603,1161655860,1,2020,rajasthan
bundi district,712522,1016319031,1,2020,rajasthan
jhalawar district,894980,1662289228,1,2020,rajasthan
alwar district,5046369,9090012850,1,2020,rajasthan
kota district,3282916,4272102864,1,2020,rajasthan
jhunjhunu district,1634493,3486033430,1,2020,rajasthan
pali district,1372177,2377825477,2,2020,rajasthan
ganganagar district,2016375,3982315548,2,2020,rajasthan
churu district,1438466,2818320326,2,2020,rajasthan
jaipur district,43871862,88270816978,2,2020,rajasthan
baran district,838653,1511655624,2,2020,rajasthan
bhilwara district,3144077,5583955261,2,2020,rajasthan
banswara district,370056,692994808.8,2,2020,rajasthan
dungarpur district,378890,580230650.7,2,2020,rajasthan
tonk district,1834820,3108063337,2,2020,rajasthan
jodhpur district,3972317,7649652332,2,2020,rajasthan
karauli district,1408933,2391025440,2,2020,rajasthan
udaipur district,2293910,3491313531,2,2020,rajasthan
dausa district,2849821,4537835886,2,2020,rajasthan
nagaur district,2506689,4856436699,2,2020,rajasthan
bharatpur district,1861557,3561067371,2,2020,rajasthan
barmer district,2038065,4156124012,2,2020,rajasthan
ajmer district,2539677,4723275737,2,2020,rajasthan
chittorgarh district,1324205,2449356728,2,2020,rajasthan
hanumangarh district,1460018,3028804526,2,2020,rajasthan
pratapgarh district,321199,639106489.1,2,2020,rajasthan
sawai madhopur district,1736691,2726823528,2,2020,rajasthan
jalore district,1019723,1882434514,2,2020,rajasthan
bikaner district,2034733,3703555515,2,2020,rajasthan
sikar district,3448263,6813435570,2,2020,rajasthan
dholpur district,614600,1206739832,2,2020,rajasthan
sirohi district,696555,1088938588,2,2020,rajasthan
rajsamand district,917992,1695442006,2,2020,rajasthan
jaisalmer district,747477,1378478712,2,2020,rajasthan
bundi district,878144,1460564008,2,2020,rajasthan
jhalawar district,1120590,2559982782,2,2020,rajasthan
alwar district,5981709,10239649720,2,2020,rajasthan
kota district,2674020,4271159445,2,2020,rajasthan
jhunjhunu district,2242392,4325892022,2,2020,rajasthan
pali district,1854914,3848648124,3,2020,rajasthan
ganganagar district,2506247,5401051023,3,2020,rajasthan
churu district,1745171,3918241716,3,2020,rajasthan
jaipur district,71797182,1.38189E+11,3,2020,rajasthan
baran district,990694,1781540360,3,2020,rajasthan
bhilwara district,4656173,9414793216,3,2020,rajasthan
banswara district,402498,880276877.6,3,2020,rajasthan
dungarpur district,381150,780764641.8,3,2020,rajasthan
tonk district,2296368,3947608431,3,2020,rajasthan
jodhpur district,6262826,13714122198,3,2020,rajasthan
karauli district,1489891,2839657294,3,2020,rajasthan
udaipur district,3836995,6351934008,3,2020,rajasthan
dausa district,3552220,5920927936,3,2020,rajasthan
nagaur district,3048026,6903346685,3,2020,rajasthan
bharatpur district,2064445,4350126191,3,2020,rajasthan
barmer district,2386729,5803287090,3,2020,rajasthan
ajmer district,3910137,8288212744,3,2020,rajasthan
chittorgarh district,1806035,3708385693,3,2020,rajasthan
hanumangarh district,1785890,3999623395,3,2020,rajasthan
pratapgarh district,360412,800605053.2,3,2020,rajasthan
sawai madhopur district,2157237,3506697100,3,2020,rajasthan
jalore district,1154031,2737316593,3,2020,rajasthan
bikaner district,2716423,5489007986,3,2020,rajasthan
sikar district,4567655,9916206322,3,2020,rajasthan
dholpur district,662790,1506195341,3,2020,rajasthan
sirohi district,931740,1721461839,3,2020,rajasthan
rajsamand district,1127177,2386997648,3,2020,rajasthan
jaisalmer district,916827,1932636843,3,2020,rajasthan
bundi district,1081850,1857526775,3,2020,rajasthan
jhalawar district,1396419,3037588893,3,2020,rajasthan
alwar district,7995044,14617913028,3,2020,rajasthan
kota district,4442791,8027789841,3,2020,rajasthan
jhunjhunu district,2804689,6098391248,3,2020,rajasthan
pali district,2663178,5830180712,4,2020,rajasthan
ganganagar district,3623577,7936384991,4,2020,rajasthan
churu district,2461810,5879435915,4,2020,rajasthan
jaipur district,82378485,1.59642E+11,4,2020,rajasthan
baran district,1380743,2548027240,4,2020,rajasthan
bhilwara district,6669204,13765886969,4,2020,rajasthan
banswara district,627538,1380321074,4,2020,rajasthan
dungarpur district,555914,1180558251,4,2020,rajasthan
tonk district,3203388,5701339582,4,2020,rajasthan
jodhpur district,8568947,19107841742,4,2020,rajasthan
karauli district,1675614,3453137389,4,2020,rajasthan
udaipur district,5631994,9376663714,4,2020,rajasthan
dausa district,3972332,7263765843,4,2020,rajasthan
nagaur district,4447471,10913756198,4,2020,rajasthan
bharatpur district,2744055,5971854299,4,2020,rajasthan
barmer district,3449878,8672444321,4,2020,rajasthan
ajmer district,5843422,12526263261,4,2020,rajasthan
chittorgarh district,2615839,5457760762,4,2020,rajasthan
hanumangarh district,2508714,5925971726,4,2020,rajasthan
pratapgarh district,492384,1136165441,4,2020,rajasthan
sawai madhopur district,2509016,4393102786,4,2020,rajasthan
jalore district,1575662,3942410357,4,2020,rajasthan
bikaner district,4005208,8393453473,4,2020,rajasthan
sikar district,6635869,15551286577,4,2020,rajasthan
dholpur district,936119,2216588503,4,2020,rajasthan
sirohi district,1355839,2570610442,4,2020,rajasthan
rajsamand district,1614361,3430500719,4,2020,rajasthan
jaisalmer district,1431699,3080601568,4,2020,rajasthan
bundi district,1553114,2682280736,4,2020,rajasthan
jhalawar district,1906726,4062512989,4,2020,rajasthan
alwar district,10874361,21064630283,4,2020,rajasthan
kota district,6392503,11328763287,4,2020,rajasthan
jhunjhunu district,3978471,9648559703,4,2020,rajasthan
pali district,2984309,6767220860,1,2021,rajasthan
ganganagar district,4118972,8871371303,1,2021,rajasthan
churu district,2731771,6726856130,1,2021,rajasthan
jaipur district,125917532,2.23771E+11,1,2021,rajasthan
baran district,1448642,2847364293,1,2021,rajasthan
bhilwara district,7672484,16416337442,1,2021,rajasthan
banswara district,691566,1624792470,1,2021,rajasthan
dungarpur district,611490,1372686858,1,2021,rajasthan
tonk district,3421206,6186398098,1,2021,rajasthan
jodhpur district,11409882,24774598219,1,2021,rajasthan
karauli district,1925731,3977897318,1,2021,rajasthan
udaipur district,6826421,10957000442,1,2021,rajasthan
dausa district,4999310,8786072972,1,2021,rajasthan
nagaur district,4976059,12761075160,1,2021,rajasthan
bharatpur district,3042043,6708987386,1,2021,rajasthan
barmer district,4110660,11264935916,1,2021,rajasthan
ajmer district,7053995,15317166378,1,2021,rajasthan
chittorgarh district,2948289,6425179622,1,2021,rajasthan
hanumangarh district,2701068,6539912589,1,2021,rajasthan
pratapgarh district,538169,1351138009,1,2021,rajasthan
sawai madhopur district,3177944,5382039395,1,2021,rajasthan
jalore district,1718704,4884080088,1,2021,rajasthan
bikaner district,4734203,10056780360,1,2021,rajasthan
sikar district,7581768,17303999484,1,2021,rajasthan
dholpur district,999900,2398002048,1,2021,rajasthan
sirohi district,1515460,3035265055,1,2021,rajasthan
rajsamand district,1840526,4042427825,1,2021,rajasthan
jaisalmer district,1725745,3811332821,1,2021,rajasthan
bundi district,1683993,3089653094,1,2021,rajasthan
jhalawar district,2097068,4661637194,1,2021,rajasthan
alwar district,12041829,23497000298,1,2021,rajasthan
kota district,9133910,15546647728,1,2021,rajasthan
jhunjhunu district,4350270,10335519087,1,2021,rajasthan
pali district,3745421,7957453111,2,2021,rajasthan
ganganagar district,4753914,10746504871,2,2021,rajasthan
churu district,3649018,8499729274,2,2021,rajasthan
jaipur district,137247139,2.48391E+11,2,2021,rajasthan
baran district,1657148,3411039143,2,2021,rajasthan
bhilwara district,8735150,17984159143,2,2021,rajasthan
banswara district,848559,1987559373,2,2021,rajasthan
dungarpur district,760275,1594168931,2,2021,rajasthan
tonk district,4093452,7422412798,2,2021,rajasthan
jodhpur district,12941666,27913789332,2,2021,rajasthan
karauli district,2869692,5673272614,2,2021,rajasthan
udaipur district,6280736,10800769538,2,2021,rajasthan
dausa district,6410357,10828124761,2,2021,rajasthan
nagaur district,6493229,15639817786,2,2021,rajasthan
bharatpur district,4010426,8730800909,2,2021,rajasthan
barmer district,5379586,13831654569,2,2021,rajasthan
ajmer district,7863986,16687418391,2,2021,rajasthan
chittorgarh district,3344931,7084417205,2,2021,rajasthan
hanumangarh district,3380981,8144091679,2,2021,rajasthan
pratapgarh district,671704,1622148152,2,2021,rajasthan
sawai madhopur district,3904625,6665184242,2,2021,rajasthan
jalore district,2313815,6248659227,2,2021,rajasthan
bikaner district,5602946,11924692955,2,2021,rajasthan
sikar district,8840543,19750164304,2,2021,rajasthan
dholpur district,1328838,3139295693,2,2021,rajasthan
sirohi district,1706489,3292314136,2,2021,rajasthan
rajsamand district,2176976,4463576167,2,2021,rajasthan
jaisalmer district,2072381,4346891101,2,2021,rajasthan
bundi district,1995615,3857748495,2,2021,rajasthan
jhalawar district,2408252,5698521651,2,2021,rajasthan
alwar district,14291357,26436939538,2,2021,rajasthan
kota district,9960676,18087598514,2,2021,rajasthan
jhunjhunu district,5737156,12840869599,2,2021,rajasthan
pali district,4825668,10052201780,3,2021,rajasthan
ganganagar district,6733698,13200151369,3,2021,rajasthan
churu district,4742306,10642136840,3,2021,rajasthan
jaipur district,193839196,3.13664E+11,3,2021,rajasthan
baran district,2156975,3989332795,3,2021,rajasthan
bhilwara district,12558408,23899765687,3,2021,rajasthan
banswara district,1193693,2610850744,3,2021,rajasthan
dungarpur district,1021896,2146022634,3,2021,rajasthan
tonk district,5293345,8710526984,3,2021,rajasthan
jodhpur district,19263957,38514689413,3,2021,rajasthan
karauli district,3221955,5947115164,3,2021,rajasthan
udaipur district,10000681,15950385929,3,2021,rajasthan
dausa district,8175162,12267753351,3,2021,rajasthan
nagaur district,8542495,19712431243,3,2021,rajasthan
bharatpur district,4840142,9542568538,3,2021,rajasthan
barmer district,7369389,17897391704,3,2021,rajasthan
ajmer district,12039695,23974005141,3,2021,rajasthan
chittorgarh district,4916314,9584592196,3,2021,rajasthan
hanumangarh district,4401750,9676935142,3,2021,rajasthan
pratapgarh district,951737,2170354159,3,2021,rajasthan
sawai madhopur district,4881323,7329478652,3,2021,rajasthan
jalore district,2769584,7412183523,3,2021,rajasthan
bikaner district,7999407,15396174303,3,2021,rajasthan
sikar district,12157675,24859966681,3,2021,rajasthan
dholpur district,1667722,3666631214,3,2021,rajasthan
sirohi district,2429857,4593398471,3,2021,rajasthan
rajsamand district,3136695,6345862851,3,2021,rajasthan
jaisalmer district,3120934,6241304259,3,2021,rajasthan
bundi district,2707584,4521278252,3,2021,rajasthan
jhalawar district,3141862,6253079109,3,2021,rajasthan
alwar district,18956440,31796623473,3,2021,rajasthan
kota district,13858632,22356848821,3,2021,rajasthan
jhunjhunu district,7368576,15584852434,3,2021,rajasthan
pali district,6057183,12994115234,4,2021,rajasthan
ganganagar district,8184243,16810621864,4,2021,rajasthan
churu district,5935726,14118707638,4,2021,rajasthan
jaipur district,231804892,3.94436E+11,4,2021,rajasthan
baran district,2793598,5264026397,4,2021,rajasthan
bhilwara district,15373212,29555829037,4,2021,rajasthan
banswara district,1550961,3356204177,4,2021,rajasthan
dungarpur district,1353577,2828675179,4,2021,rajasthan
tonk district,6584281,11053638123,4,2021,rajasthan
jodhpur district,23671637,49201187505,4,2021,rajasthan
karauli district,4265646,8113128022,4,2021,rajasthan
udaipur district,12082286,19874244609,4,2021,rajasthan
dausa district,10142219,16190233721,4,2021,rajasthan
nagaur district,10615952,25959911336,4,2021,rajasthan
bharatpur district,6438461,12862157302,4,2021,rajasthan
barmer district,9363927,22313160420,4,2021,rajasthan
ajmer district,15049250,31040109508,4,2021,rajasthan
chittorgarh district,6261904,12222272566,4,2021,rajasthan
hanumangarh district,5310780,12582463281,4,2021,rajasthan
pratapgarh district,1246112,2850194416,4,2021,rajasthan
sawai madhopur district,6211420,9792493810,4,2021,rajasthan
jalore district,3636011,9829253226,4,2021,rajasthan
bikaner district,9810932,19930824236,4,2021,rajasthan
sikar district,14946567,32671486020,4,2021,rajasthan
dholpur district,2276540,5074521349,4,2021,rajasthan
sirohi district,2938452,5709723257,4,2021,rajasthan
rajsamand district,3904566,7888825388,4,2021,rajasthan
jaisalmer district,4360030,8928650729,4,2021,rajasthan
bundi district,3509775,5985136286,4,2021,rajasthan
jhalawar district,4094768,8244372847,4,2021,rajasthan
alwar district,23661509,40984441151,4,2021,rajasthan
kota district,14912645,24168234009,4,2021,rajasthan
jhunjhunu district,9272535,21099797535,4,2021,rajasthan
pali district,7186562,14978683154,1,2022,rajasthan
ganganagar district,9951712,19810362020,1,2022,rajasthan
churu district,7027393,16182079349,1,2022,rajasthan
jaipur district,262950613,4.34508E+11,1,2022,rajasthan
baran district,3313639,6075628391,1,2022,rajasthan
bhilwara district,18219742,34832214593,1,2022,rajasthan
banswara district,1934543,4305963325,1,2022,rajasthan
dungarpur district,1601893,3333483355,1,2022,rajasthan
tonk district,7525693,12353743561,1,2022,rajasthan
jodhpur district,27810577,56966935615,1,2022,rajasthan
karauli district,4947468,8967316936,1,2022,rajasthan
udaipur district,13527713,22322610838,1,2022,rajasthan
dausa district,11542170,17674189167,1,2022,rajasthan
nagaur district,12629151,30251543728,1,2022,rajasthan
bharatpur district,7655860,14512910848,1,2022,rajasthan
barmer district,11519794,27090053338,1,2022,rajasthan
ajmer district,17973292,36567659945,1,2022,rajasthan
chittorgarh district,7428622,14456333124,1,2022,rajasthan
hanumangarh district,6377544,14758711603,1,2022,rajasthan
pratapgarh district,1599079,3515635370,1,2022,rajasthan
sawai madhopur district,7216366,11027855832,1,2022,rajasthan
jalore district,4491298,12375235222,1,2022,rajasthan
bikaner district,11656264,23262580003,1,2022,rajasthan
sikar district,16975662,35691652892,1,2022,rajasthan
dholpur district,2778999,5894331702,1,2022,rajasthan
sirohi district,3353014,6402432686,1,2022,rajasthan
rajsamand district,4525911,9132121086,1,2022,rajasthan
jaisalmer district,4838533,9233715982,1,2022,rajasthan
bundi district,4151689,6974583851,1,2022,rajasthan
jhalawar district,5038482,9563582631,1,2022,rajasthan
alwar district,27462202,46051829716,1,2022,rajasthan
kota district,19207151,30335394639,1,2022,rajasthan
jhunjhunu district,10543589,22640907822,1,2022,rajasthan
pali district,8668074,17160215081,2,2022,rajasthan
ganganagar district,11882025,22557602052,2,2022,rajasthan
churu district,8257600,18081738963,2,2022,rajasthan
jaipur district,314511010,4.97492E+11,2,2022,rajasthan
baran district,3685832,7229260132,2,2022,rajasthan
bhilwara district,20131391,38273076738,2,2022,rajasthan
banswara district,2337103,4900005810,2,2022,rajasthan
dungarpur district,1899171,3638952979,2,2022,rajasthan
tonk district,8150133,13811523632,2,2022,rajasthan
jodhpur district,31463295,61614349060,2,2022,rajasthan
karauli district,5012114,9206349484,2,2022,rajasthan
udaipur district,15896129,24912652508,2,2022,rajasthan
dausa district,12578789,19527845596,2,2022,rajasthan
nagaur district,14631304,33408260595,2,2022,rajasthan
bharatpur district,8637412,16444974526,2,2022,rajasthan
barmer district,13273476,29634982538,2,2022,rajasthan
ajmer district,20900496,40715583331,2,2022,rajasthan
